455,2025-07-26 15:44:10,EUR/JPY OTC,10.0,BUY,win,15:46,15:56,5 minutes,+72%,2,9.193333333333328
456,2025-07-26 15:45:26,AUD/JPY OTC,10.0,BUY,win,15:48,15:58,5 minutes,+90%,2,9.997777777777777
458,2025-07-26 15:56:38,USD/CAD OTC,10.0,BUY,loss,16:05,16:25,5 minutes,+92%,4,-173.89413988657844
462,2025-07-26 16:01:21,USD/CNH OTC,10.0,BUY,win,16:30,16:35,5 minutes,+82%,1,8.2
465,2025-07-26 16:07:15,USD/CNH OTC,10.0,BUY,win,16:30,16:35,5 minutes,+82%,1,8.2
466,2025-07-26 16:07:45,USD/CNH OTC,10.0,BUY,win,16:30,16:35,5 minutes,+82%,1,8.2
468,2025-07-26 16:11:13,USD/CAD OTC,10.0,BUY,loss,16:15,16:35,5 minutes,+92%,4,-171.7900879427961
473,2025-07-26 16:54:13,USD/CNH OTC,10.0,BUY,win,17:00,17:05,5 minutes,+88%,1,8.8
474,2025-07-26 17:04:00,AUD/CAD OTC,10.0,BUY,win,17:10,17:15,5 minutes,+92%,1,9.2
476,2025-07-26 17:17:10,AUD/CHF OTC,10.0,SELL,win,17:18,17:19,1 minutes,+92%,1,9.2
477,2025-07-26 17:18:51,AUD/CHF OTC,10.0,SELL,win,17:19,17:20,1 minutes,+92%,1,9.2
478,2025-07-26 17:19:49,AUD/CHF OTC,10.0,SELL,win,17:22,17:23,1 minutes,+92%,1,9.2
464,2025-07-26 16:05:21,AUD/JPY OTC,10.0,BUY,win,17:20,17:30,5 minutes,+90%,2,9.997777777777777
479,2025-07-26 17:33:15,USD/CHF OTC,10.0,SELL,win,17:35,17:39,1 minutes,+63%,4,9.998310659413079
483,2025-07-27 01:31:37,EUR/JPY OTC,10.0,SELL,win,01:33,01:38,5 minutes,+61%,1,6.100000000000001
485,2025-07-27 02:09:21,EUR/JPY OTC,10.0,SELL,loss,02:10,02:30,5 minutes,+92%,4,-190.47457752605175
486,2025-07-27 14:15:10,EUR/JPY OTC,10.0,SELL,win,14:16,14:21,5 minutes,+92%,1,9.2
488,2025-07-27 14:17:36,EUR/JPY OTC,10.0,SELL,win,14:19,14:24,5 minutes,+92%,1,9.2
487,2025-07-27 14:15:37,EUR/JPY OTC,10.0,SELL,win,14:20,14:25,5 minutes,+92%,1,9.2
495,2025-07-27 19:38:22,EUR/JPY OTC,10.0,SELL,win,19:40,19:44,5 minutes,+68%,1,6.800000000000001
493,2025-07-27 17:41:03,AUD/CHF OTC,10.0,SELL,win,19:42,19:50,5 minutes,+92%,2,9.98086956521739
500,2025-07-27 20:25:55,AUD/CHF OTC,10.0,SELL,win,20:27,20:47,5 minutes,+92%,4,9.999912057203886
502,2025-07-27 22:49:29,EUR/JPY OTC,10.0,SELL,win,22:50,22:55,5 minutes,,1,9.2
503,2025-07-27 23:00:43,AUD/CHF OTC,10.0,SELL,win,23:02,23:07,5 minutes,,1,6.5
504,2025-07-27 23:03:44,EUR/JPY OTC,10.0,SELL,win,23:05,23:10,5 minutes,,1,9.100000000000001
505,2025-07-27 23:04:48,EUR/USD OTC,10.0,BUY,win,23:06,23:11,5 minutes,,1,9.2
508,2025-07-27 23:20:34,EUR/JPY OTC,10.0,SELL,win,23:22,23:27,5 minutes,,2,-15.190243902439025
507,2025-07-27 23:17:27,EUR/USD OTC,10.0,BUY,win,23:26,23:31,5 minutes,,3,-35.3877504725898
509,2025-07-27 23:46:30,USD/CHF OTC,10.0,SELL,win,23:48,23:53,5 minutes,,1,2.8000000000000007
511,2025-07-28 00:00:18,USD/CHF OTC,10.0,SELL,win,00:01,00:02,1 minutes,,3,10.000816326530696
513,2025-07-28 00:07:44,AED/CNY OTC,10.0,BUY,win,00:10,00:11,1 minutes,,1,9.2
516,2025-07-28 00:16:07,AED/CNY OTC,10.0,BUY,win,00:17,00:18,1 minutes,,2,9.98086956521739
517,2025-07-28 00:25:02,AED/CNY OTC,10.0,BUY,win,00:26,00:27,1 minutes,,1,9.2
519,2025-07-28 00:31:59,AED/CNY OTC,10.0,BUY,win,00:34,00:35,1 minutes,,1,9.2
518,2025-07-28 00:31:42,AED/CNY OTC,10.0,BUY,win,00:33,00:34,1 minutes,,2,9.98086956521739
520,2025-07-28 00:32:15,AED/CNY OTC,10.0,BUY,win,00:35,00:36,1 minutes,,1,77.09
521,2025-07-28 00:39:16,AED/CNY OTC,10.0,BUY,win,00:41,00:42,1 minutes,,3,1.7429364499634517
522,2025-07-28 00:46:15,AED/CNY OTC,10.0,BUY,win,00:47,00:48,1 minutes,,1,6.100000000000001
525,2025-07-28 13:07:42,AUD/CAD,10.0,BUY,win,13:09,13:10,1 minutes,,3,9.982249527410204
526,2025-07-28 13:18:17,GBP/JPY,10.0,BUY,win,13:20,13:21,1 minutes,,1,9.2
527,2025-07-28 13:33:23,AUD/CAD,10.0,BUY,win,13:35,13:36,1 minutes,,1,8.7
528,2025-07-28 13:43:35,GBP/JPY,10.0,BUY,win,13:45,13:46,1 minutes,,2,9.98086956521739
530,2025-07-28 14:10:02,GBP/JPY,10.0,BUY,loss,14:11,14:12,1 minutes,,4,-174.92938289822723
531,2025-07-28 14:29:17,GBP/JPY,10.0,BUY,win,14:31,14:32,1 minutes,,4,10.000617101772775
541,2025-07-28 17:19:26,AED/CNY OTC,10.0,BUY,win,17:21,17:22,1 minutes,,1,9.2
542,2025-07-28 17:22:46,AUD/CAD,10.0,BUY,win,17:24,17:25,1 minutes,,2,9.98086956521739
543,2025-07-28 17:34:32,AED/CNY OTC,10.0,BUY,win,17:36,17:37,1 minutes,,1,9.2
544,2025-07-28 17:49:12,AED/CNY OTC,10.0,BUY,win,17:50,17:51,1 minutes,,1,9.2
